,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
0,cap61,10,2,0.5364198684692383,0.0,0.0,0,unclear if the intergrality property holds
1,cap61,10,4,0.2852811813354492,0.0,0.0,0,unclear if the intergrality property holds
2,cap61,10,6,0.2799525260925293,0.0,0.0,0,unclear if the intergrality property holds
3,cap61,10,8,0.2770988941192627,0.0,0.0,0,unclear if the intergrality property holds
4,cap61,10,10,0.3079075813293457,0.0,0.0,0,unclear if the intergrality property holds
5,cap61,10,12,0.28078246116638184,0.0,0.0,0,unclear if the intergrality property holds
6,cap61,10,14,0.29978108406066895,0.0,0.0,0,unclear if the intergrality property holds
7,cap61,10,16,0.28002476692199707,0.0,0.0,0,unclear if the intergrality property holds
8,cap61,10,18,0.29444313049316406,0.0,0.0,0,unclear if the intergrality property holds
9,cap61,10,20,0.2845768928527832,0.0,0.0,0,unclear if the intergrality property holds
10,cap61,20,2,0.4984748363494873,0.0,0.0,0,unclear if the intergrality property holds
11,cap61,20,4,0.42344141006469727,0.0,0.0,0,unclear if the intergrality property holds
12,cap61,20,6,0.443676233291626,0.0,0.0,0,unclear if the intergrality property holds
13,cap61,20,8,0.433743953704834,0.0,0.0,0,unclear if the intergrality property holds
14,cap61,20,10,0.4188985824584961,0.0,0.0,0,unclear if the intergrality property holds
15,cap61,20,12,0.4277224540710449,0.0,0.0,0,unclear if the intergrality property holds
16,cap61,20,14,0.44411587715148926,0.0,0.0,0,unclear if the intergrality property holds
17,cap61,20,16,0.4431586265563965,0.0,0.0,0,unclear if the intergrality property holds
18,cap61,20,18,0.4172210693359375,0.0,0.0,0,unclear if the intergrality property holds
19,cap61,20,20,0.41997194290161133,0.0,0.0,0,unclear if the intergrality property holds
20,cap61,30,2,6.922270774841309,932615.75,923361.6310913049,201,max iterations
21,cap61,30,4,6.470752954483032,932615.75,931524.6378877596,201,max iterations
22,cap61,30,6,1.0692591667175293,932615.75,932543.0778173216,15,reached dual gap tolerance
23,cap61,30,8,1.182337760925293,932615.75,932565.8731805063,15,reached dual gap tolerance
24,cap61,30,10,1.3101553916931152,932615.75,932615.75,19,reached subgradient tolerance and dual gap tolerance
25,cap61,30,12,1.2715098857879639,932615.75,932615.75,22,reached dual gap tolerance
26,cap61,30,14,1.3418025970458984,932615.75,932600.5806005456,24,reached dual gap tolerance
27,cap61,30,16,1.339402675628662,932615.75,932571.5041560926,22,reached dual gap tolerance
28,cap61,30,18,1.2914676666259766,932615.75,932582.2745938397,23,reached dual gap tolerance
29,cap61,30,20,1.4896175861358643,932615.75,932544.6620539465,26,reached dual gap tolerance
30,cap61,40,2,7.1183412075042725,932615.75,924031.5443429882,201,max iterations
31,cap61,40,4,7.024213790893555,932615.75,931237.8553479158,201,max iterations
32,cap61,40,6,1.3518362045288086,932615.75,932084.3991672652,18,reached subgradient tolerance
33,cap61,40,8,1.3605966567993164,932615.75,932338.046815093,21,reached subgradient tolerance
34,cap61,40,10,1.7946066856384277,932615.75,932524.8855000767,31,reached subgradient tolerance and dual gap tolerance
35,cap61,40,12,1.5533361434936523,932615.75,932522.7894415237,21,reached dual gap tolerance
36,cap61,40,14,1.640857458114624,932615.75,932524.3355704546,28,reached dual gap tolerance
37,cap61,40,16,1.6755890846252441,932615.75,932535.2524417496,26,reached dual gap tolerance
38,cap61,40,18,1.4909098148345947,932615.75,932535.5142486538,24,reached dual gap tolerance
39,cap61,40,20,1.5329396724700928,932615.75,932551.6219641702,26,reached dual gap tolerance
40,cap61,50,2,7.197346448898315,932615.75,926797.3802240189,201,max iterations
41,cap61,50,4,6.994166612625122,932615.75,931784.7822524989,201,max iterations
42,cap61,50,6,1.44449782371521,932615.75,932339.0526123258,19,reached subgradient tolerance
43,cap61,50,8,1.6684918403625488,932615.75,932566.6087994035,20,reached dual gap tolerance
44,cap61,50,10,1.3592965602874756,932615.75,932610.8051557329,17,reached dual gap tolerance
45,cap61,50,12,1.4204075336456299,932615.75,932561.2736307378,19,reached dual gap tolerance
46,cap61,50,14,1.4870789051055908,932615.75,932573.6877159788,20,reached dual gap tolerance
47,cap61,50,16,1.403317928314209,932615.75,932557.9769315372,19,reached dual gap tolerance
48,cap61,50,18,1.5807876586914062,932615.75,932560.4666666667,24,reached dual gap tolerance
49,cap61,50,20,1.5251758098602295,932615.75,932551.6996678833,22,reached dual gap tolerance
50,cap61,60,2,6.8759801387786865,932615.75,926797.3802240189,201,max iterations
51,cap61,60,4,7.0488691329956055,932615.75,931784.7822524989,201,max iterations
52,cap61,60,6,1.559251308441162,932615.75,932339.0526123258,19,reached subgradient tolerance
53,cap61,60,8,1.6007251739501953,932615.75,932566.6087994035,20,reached dual gap tolerance
54,cap61,60,10,1.5299181938171387,932615.75,932610.8051557329,17,reached dual gap tolerance
55,cap61,60,12,1.5538582801818848,932615.75,932561.2736307378,19,reached dual gap tolerance
56,cap61,60,14,1.5898425579071045,932615.75,932573.6877159788,20,reached dual gap tolerance
57,cap61,60,16,1.5572643280029297,932615.75,932557.9769315372,19,reached dual gap tolerance
58,cap61,60,18,1.7429931163787842,932615.75,932560.4666666667,24,reached dual gap tolerance
59,cap61,60,20,1.6491270065307617,932615.75,932551.6996678833,22,reached dual gap tolerance
60,cap61,70,2,7.71909236907959,932615.75,926797.3802240189,201,max iterations
61,cap61,70,4,7.740593194961548,932615.75,931784.7822524989,201,max iterations
62,cap61,70,6,1.8123788833618164,932615.75,932339.0526123258,19,reached subgradient tolerance
63,cap61,70,8,1.780327320098877,932615.75,932566.6087994035,20,reached dual gap tolerance
64,cap61,70,10,1.6078574657440186,932615.75,932610.8051557329,17,reached dual gap tolerance
65,cap61,70,12,1.6614370346069336,932615.75,932561.2736307378,19,reached dual gap tolerance
66,cap61,70,14,1.6976215839385986,932615.75,932573.6877159788,20,reached dual gap tolerance
67,cap61,70,16,1.7373065948486328,932615.75,932557.9769315372,19,reached dual gap tolerance
68,cap61,70,18,1.977022647857666,932615.75,932560.4666666667,24,reached dual gap tolerance
69,cap61,70,20,1.75905179977417,932615.75,932551.6996678833,22,reached dual gap tolerance
70,cap61,80,2,7.377066135406494,932615.75,926797.3802240189,201,max iterations
71,cap61,80,4,10.216307640075684,932615.75,931784.7822524989,201,max iterations
72,cap61,80,6,2.330376386642456,932615.75,932339.0526123258,19,reached subgradient tolerance
73,cap61,80,8,2.4093801975250244,932615.75,932566.6087994035,20,reached dual gap tolerance
74,cap61,80,10,2.11923885345459,932615.75,932610.8051557329,17,reached dual gap tolerance
75,cap61,80,12,2.174074411392212,932615.75,932561.2736307378,19,reached dual gap tolerance
76,cap61,80,14,2.4731602668762207,932615.75,932573.6877159788,20,reached dual gap tolerance
77,cap61,80,16,2.1841373443603516,932615.75,932557.9769315372,19,reached dual gap tolerance
78,cap61,80,18,2.2902936935424805,932615.75,932560.4666666667,24,reached dual gap tolerance
79,cap61,80,20,2.214146375656128,932615.75,932551.6996678833,22,reached dual gap tolerance
80,cap61,90,2,10.182338953018188,932615.75,926797.3802240189,201,max iterations
81,cap61,90,4,9.686779022216797,932615.75,931784.7822524989,201,max iterations
82,cap61,90,6,2.0722291469573975,932615.75,932339.0526123258,19,reached subgradient tolerance
83,cap61,90,8,2.113635301589966,932615.75,932566.6087994035,20,reached dual gap tolerance
