,filename,range_lambdas,alpha_half,run_time,best_feasible_obj,best_lb,number_lagrangian_iterations,what_stopped_lagrangian
0,cap61,10,2,0.5636906623840332,0.0,0.0,0,unclear if the intergrality property holds
1,cap61,10,4,0.3265421390533447,0.0,0.0,0,unclear if the intergrality property holds
2,cap61,10,6,0.3038520812988281,0.0,0.0,0,unclear if the intergrality property holds
3,cap61,10,8,0.301098108291626,0.0,0.0,0,unclear if the intergrality property holds
4,cap61,10,10,0.2854804992675781,0.0,0.0,0,unclear if the intergrality property holds
5,cap61,10,12,0.35483431816101074,0.0,0.0,0,unclear if the intergrality property holds
6,cap61,10,14,0.281080961227417,0.0,0.0,0,unclear if the intergrality property holds
7,cap61,10,16,0.27970433235168457,0.0,0.0,0,unclear if the intergrality property holds
8,cap61,10,18,0.2810227870941162,0.0,0.0,0,unclear if the intergrality property holds
9,cap61,10,20,0.3081827163696289,0.0,0.0,0,unclear if the intergrality property holds
10,cap61,20,2,0.4512953758239746,0.0,0.0,0,unclear if the intergrality property holds
11,cap61,20,4,0.4420151710510254,0.0,0.0,0,unclear if the intergrality property holds
12,cap61,20,6,0.501795768737793,0.0,0.0,0,unclear if the intergrality property holds
13,cap61,20,8,0.4189317226409912,0.0,0.0,0,unclear if the intergrality property holds
14,cap61,20,10,0.42772555351257324,0.0,0.0,0,unclear if the intergrality property holds
15,cap61,20,12,0.42624545097351074,0.0,0.0,0,unclear if the intergrality property holds
16,cap61,20,14,0.44483113288879395,0.0,0.0,0,unclear if the intergrality property holds
17,cap61,20,16,0.41998791694641113,0.0,0.0,0,unclear if the intergrality property holds
18,cap61,20,18,0.486391544342041,0.0,0.0,0,unclear if the intergrality property holds
19,cap61,20,20,0.42691469192504883,0.0,0.0,0,unclear if the intergrality property holds
20,cap61,30,2,6.812561750411987,932615.75,920421.5432358067,201,max iterations
21,cap61,30,4,6.992167234420776,932615.75,931065.99969293,201,max iterations
22,cap61,30,6,2.14579176902771,932615.75,932523.9190288665,47,reached dual gap tolerance
23,cap61,30,8,1.3781800270080566,932615.75,932529.734607925,25,reached dual gap tolerance
24,cap61,30,10,1.1247282028198242,932615.75,932568.9296946327,18,reached dual gap tolerance
25,cap61,30,12,1.306323528289795,932615.75,932583.9874999999,22,reached dual gap tolerance
26,cap61,30,14,1.3658246994018555,932615.75,932547.31186264,23,reached dual gap tolerance
27,cap61,30,16,1.3558948040008545,932615.75,932587.3999918674,22,reached dual gap tolerance
28,cap61,30,18,1.2540132999420166,932615.75,932615.7500000001,21,reached dual gap tolerance
29,cap61,30,20,1.2237017154693604,932615.75,932567.7500000001,21,reached dual gap tolerance
30,cap61,40,2,6.695927143096924,932615.75,920421.5432358067,201,max iterations
31,cap61,40,4,7.186861753463745,932615.75,931065.99969293,201,max iterations
32,cap61,40,6,2.224275588989258,932615.75,932523.9190288665,47,reached dual gap tolerance
33,cap61,40,8,1.3098323345184326,932615.75,932529.734607925,25,reached dual gap tolerance
34,cap61,40,10,1.0822172164916992,932615.75,932568.9296946327,18,reached dual gap tolerance
35,cap61,40,12,1.2497978210449219,932615.75,932583.9874999999,22,reached dual gap tolerance
36,cap61,40,14,1.2240960597991943,932615.75,932547.31186264,23,reached dual gap tolerance
37,cap61,40,16,1.2882328033447266,932615.75,932587.3999918674,22,reached dual gap tolerance
38,cap61,40,18,1.1782209873199463,932615.75,932615.7500000001,21,reached dual gap tolerance
39,cap61,40,20,1.1419341564178467,932615.75,932567.7500000001,21,reached dual gap tolerance
40,cap61,50,2,6.177244186401367,932615.75,920421.5432358067,201,max iterations
41,cap61,50,4,6.363298416137695,932615.75,931065.99969293,201,max iterations
42,cap61,50,6,1.9625353813171387,932615.75,932523.9190288665,47,reached dual gap tolerance
43,cap61,50,8,1.3341648578643799,932615.75,932529.734607925,25,reached dual gap tolerance
44,cap61,50,10,1.0785675048828125,932615.75,932568.9296946327,18,reached dual gap tolerance
45,cap61,50,12,1.1710617542266846,932615.75,932583.9874999999,22,reached dual gap tolerance
46,cap61,50,14,1.2274143695831299,932615.75,932547.31186264,23,reached dual gap tolerance
47,cap61,50,16,1.1754601001739502,932615.75,932587.3999918674,22,reached dual gap tolerance
48,cap61,50,18,1.1900990009307861,932615.75,932615.7500000001,21,reached dual gap tolerance
49,cap61,50,20,1.1653919219970703,932615.75,932567.7500000001,21,reached dual gap tolerance
50,cap61,60,2,6.162331581115723,932615.75,920421.5432358067,201,max iterations
51,cap61,60,4,6.34528660774231,932615.75,931065.99969293,201,max iterations
52,cap61,60,6,1.9407415390014648,932615.75,932523.9190288665,47,reached dual gap tolerance
53,cap61,60,8,1.3017663955688477,932615.75,932529.734607925,25,reached dual gap tolerance
54,cap61,60,10,1.0710082054138184,932615.75,932568.9296946327,18,reached dual gap tolerance
55,cap61,60,12,1.219292163848877,932615.75,932583.9874999999,22,reached dual gap tolerance
56,cap61,60,14,1.220538854598999,932615.75,932547.31186264,23,reached dual gap tolerance
57,cap61,60,16,1.1951875686645508,932615.75,932587.3999918674,22,reached dual gap tolerance
58,cap61,60,18,1.173922061920166,932615.75,932615.7500000001,21,reached dual gap tolerance
59,cap61,60,20,1.1477153301239014,932615.75,932567.7500000001,21,reached dual gap tolerance
